repository,name,value
https://github.com/Yelp/yelp.github.io,Number of open issues,0.0
https://github.com/Yelp/yelp.github.io,Is a fork,0.0
https://github.com/Yelp/yelp.github.io,Has wiki,1.0
https://github.com/Yelp/yelp.github.io,Number of watchers,132.0
https://github.com/Yelp/yelp.github.io,Has issues,1.0
https://github.com/Yelp/yelp.github.io,Active time in days,917.0
https://github.com/Yelp/yelp.github.io,Size of repo,691.0
https://github.com/Yelp/yelp.github.io,Has downloads,1.0
https://github.com/artsy/artsy.github.io,Number of open issues,23.0
https://github.com/artsy/artsy.github.io,Is a fork,0.0
https://github.com/artsy/artsy.github.io,Has wiki,0.0
https://github.com/artsy/artsy.github.io,Number of watchers,184.0
https://github.com/artsy/artsy.github.io,Has issues,1.0
https://github.com/artsy/artsy.github.io,Size of repo,64546.0
https://github.com/artsy/artsy.github.io,Active time in days,1812.0
https://github.com/artsy/artsy.github.io,Has downloads,1.0
https://github.com/square/square.github.io,Number of open issues,1.0
https://github.com/square/square.github.io,Is a fork,0.0
https://github.com/square/square.github.io,Has wiki,0.0
https://github.com/square/square.github.io,Has issues,0.0
https://github.com/square/square.github.io,Number of watchers,243.0
https://github.com/square/square.github.io,Has downloads,1.0
https://github.com/square/square.github.io,Active time in days,1872.0
https://github.com/square/square.github.io,Size of repo,2030.0
https://github.com/IBM/ibm.github.io,Number of open issues,6.0
https://github.com/IBM/ibm.github.io,Is a fork,0.0
https://github.com/IBM/ibm.github.io,Has wiki,1.0
https://github.com/IBM/ibm.github.io,Has issues,1.0
https://github.com/IBM/ibm.github.io,Number of watchers,274.0
https://github.com/IBM/ibm.github.io,Has downloads,1.0
https://github.com/IBM/ibm.github.io,Size of repo,2413.0
https://github.com/IBM/ibm.github.io,Active time in days,1037.0
https://github.com/electron/electron.atom.io,Number of open issues,18.0
https://github.com/electron/electron.atom.io,Is a fork,0.0
https://github.com/electron/electron.atom.io,Has wiki,1.0
https://github.com/electron/electron.atom.io,Has issues,1.0
https://github.com/electron/electron.atom.io,Number of watchers,328.0
https://github.com/electron/electron.atom.io,Has downloads,1.0
https://github.com/electron/electron.atom.io,Size of repo,25375.0
https://github.com/electron/electron.atom.io,Active time in days,650.0
https://github.com/github/government.github.com,Number of open issues,27.0
https://github.com/github/government.github.com,Is a fork,0.0
https://github.com/github/government.github.com,Has wiki,0.0
https://github.com/github/government.github.com,Number of watchers,380.0
https://github.com/github/government.github.com,Has issues,1.0
https://github.com/github/government.github.com,Active time in days,1170.0
https://github.com/github/government.github.com,Size of repo,21108.0
https://github.com/github/government.github.com,Has downloads,1.0
https://github.com/twitter/twitter.github.com,Number of open issues,7.0
https://github.com/twitter/twitter.github.com,Is a fork,0.0
https://github.com/twitter/twitter.github.com,Has wiki,1.0
https://github.com/twitter/twitter.github.com,Number of watchers,709.0
https://github.com/twitter/twitter.github.com,Has issues,1.0
https://github.com/twitter/twitter.github.com,Size of repo,1140.0
https://github.com/twitter/twitter.github.com,Has downloads,1.0
https://github.com/twitter/twitter.github.com,Active time in days,2093.0
https://github.com/Microsoft/microsoft.github.io,Number of open issues,23.0
https://github.com/Microsoft/microsoft.github.io,Is a fork,0.0
https://github.com/Microsoft/microsoft.github.io,Has wiki,0.0
https://github.com/Microsoft/microsoft.github.io,Number of watchers,822.0
https://github.com/Microsoft/microsoft.github.io,Has issues,1.0
https://github.com/Microsoft/microsoft.github.io,Size of repo,449.0
https://github.com/Microsoft/microsoft.github.io,Has downloads,1.0
https://github.com/Microsoft/microsoft.github.io,Active time in days,888.0
https://github.com/github-archive/developer.github.com,Number of open issues,2.0
https://github.com/github-archive/developer.github.com,Is a fork,0.0
https://github.com/github-archive/developer.github.com,Has wiki,0.0
https://github.com/github-archive/developer.github.com,Has issues,0.0
https://github.com/github-archive/developer.github.com,Number of watchers,1278.0
https://github.com/github-archive/developer.github.com,Size of repo,147649.0
https://github.com/github-archive/developer.github.com,Has downloads,1.0
https://github.com/github-archive/developer.github.com,Active time in days,2055.0
https://github.com/danielsdeleo/Decider,Number of open issues,0.0
https://github.com/danielsdeleo/Decider,Is a fork,0.0
https://github.com/danielsdeleo/Decider,Has wiki,1.0
https://github.com/danielsdeleo/Decider,Number of watchers,390.0
https://github.com/danielsdeleo/Decider,Has issues,1.0
https://github.com/danielsdeleo/Decider,Active time in days,53.0
https://github.com/danielsdeleo/Decider,Size of repo,23562.0
https://github.com/danielsdeleo/Decider,Has downloads,1.0
https://github.com/jubatus/jubatus,Number of open issues,69.0
https://github.com/jubatus/jubatus,Is a fork,0.0
https://github.com/jubatus/jubatus,Has wiki,1.0
https://github.com/jubatus/jubatus,Number of watchers,613.0
https://github.com/jubatus/jubatus,Has issues,1.0
https://github.com/jubatus/jubatus,Has downloads,1.0
https://github.com/jubatus/jubatus,Size of repo,10786.0
https://github.com/jubatus/jubatus,Active time in days,1888.0
https://github.com/datumbox/datumbox-framework,Number of open issues,1.0
https://github.com/datumbox/datumbox-framework,Is a fork,0.0
https://github.com/datumbox/datumbox-framework,Has wiki,1.0
https://github.com/datumbox/datumbox-framework,Number of watchers,772.0
https://github.com/datumbox/datumbox-framework,Has issues,1.0
https://github.com/datumbox/datumbox-framework,Size of repo,4626.0
https://github.com/datumbox/datumbox-framework,Has downloads,1.0
https://github.com/datumbox/datumbox-framework,Active time in days,806.0
https://github.com/nikolaypavlov/MLPNeuralNet,Number of open issues,2.0
https://github.com/nikolaypavlov/MLPNeuralNet,Is a fork,0.0
https://github.com/nikolaypavlov/MLPNeuralNet,Has wiki,1.0
https://github.com/nikolaypavlov/MLPNeuralNet,Number of watchers,885.0
https://github.com/nikolaypavlov/MLPNeuralNet,Has issues,1.0
https://github.com/nikolaypavlov/MLPNeuralNet,Size of repo,484.0
https://github.com/nikolaypavlov/MLPNeuralNet,Has downloads,1.0
https://github.com/nikolaypavlov/MLPNeuralNet,Active time in days,1101.0
https://github.com/SeldonIO/seldon-server,Number of open issues,13.0
https://github.com/SeldonIO/seldon-server,Is a fork,0.0
https://github.com/SeldonIO/seldon-server,Has wiki,1.0
https://github.com/SeldonIO/seldon-server,Number of watchers,939.0
https://github.com/SeldonIO/seldon-server,Has issues,1.0
https://github.com/SeldonIO/seldon-server,Size of repo,2956.0
https://github.com/SeldonIO/seldon-server,Has downloads,1.0
https://github.com/SeldonIO/seldon-server,Active time in days,676.0
https://github.com/apache/mahout,Number of open issues,18.0
https://github.com/apache/mahout,Is a fork,0.0
https://github.com/apache/mahout,Has wiki,0.0
https://github.com/apache/mahout,Has issues,0.0
https://github.com/apache/mahout,Number of watchers,999.0
https://github.com/apache/mahout,Has downloads,1.0
https://github.com/apache/mahout,Active time in days,949.0
https://github.com/apache/mahout,Size of repo,49162.0
https://github.com/mikeizbicki/HLearn,Number of open issues,21.0
https://github.com/mikeizbicki/HLearn,Is a fork,0.0
https://github.com/mikeizbicki/HLearn,Has wiki,1.0
https://github.com/mikeizbicki/HLearn,Number of watchers,1131.0
https://github.com/mikeizbicki/HLearn,Has issues,1.0
https://github.com/mikeizbicki/HLearn,Size of repo,17533.0
https://github.com/mikeizbicki/HLearn,Has downloads,1.0
https://github.com/mikeizbicki/HLearn,Active time in days,1411.0
https://github.com/shogun-toolbox/shogun,Number of open issues,486.0
https://github.com/shogun-toolbox/shogun,Is a fork,0.0
https://github.com/shogun-toolbox/shogun,Has wiki,1.0
